 ,  ,   ,    ,     ,      ,       ,        ,         ,          ,           ,            ,
"Basketball-NBA: Brand Share-of-Market - Automobile/Truck: % of Fans Driving Brand Most Often",,,,,,,,,,,,
,,,,,,,,,,,,
Item,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
"Toyota","","","","","","14.2","14.3","14.4","14.8","14.5",,
"Honda","","","","","","11.5","13.3","13.9","11.1","12.6",,
"Ford","","","","","","13.4","11.3","10.1","11.1","9.2",,
"Chevrolet","","","","","","10.6","10.1","10.0","8.8","9.1",,
"Nissan","","","","","","5.9","6.4","6.3","6.4","7.7",,
"Hyundai","","","","","","5.3","4.7","3.0","4.8","4.6",,
"BMW","","","","","","2.1","2.6","4.0","4.2","3.4",,
"Lexus","","","","","","1.9","3.5","3.8","3.2","3.3",,
"Subaru","","","","","","1.7","2.0","2.5","2.6","2.9",,
"Mercedes-Benz","","","","","","1.8","1.4","1.9","2.0","2.9",,
"Jeep","","","","","","2.7","2.9","3.2","3.7","2.7",,
"Kia","","","","","","3.2","1.6","2.1","3.3","2.6",,
"Dodge","","","","","","4.3","3.2","2.9","2.9","2.6",,
"Audi","","","","","","1.1","1.1","1.7","1.4","2.6",,
"Acura","","","","","","1.6","2.3","1.6","2.7","2.0",,
"Chrysler","","","","","","1.9","2.6","2.2","2.3","2.0",,
"Buick","","","","","","2.0","1.6","2.2","2.1","2.0",,
"Cadillac","","","","","","1.1","1.5","1.1","1.6","2.0",,
"Volkswagen","","","","","","1.3","1.3","1.8","1.8","1.9",,
"GMC","","","","","","1.6","2.1","2.2","1.4","1.6",,
"Mazda","","","","","","1.9","2.2","2.3","1.4","1.4",,
"Lincoln","","","","","","0.6","0.7","0.7","0.9","---",,
"Mitsubishi","","","","","","0.9","1.2","0.4","0.9","---",,
"Infiniti","","","","","","1.1","0.6","1.2","0.6","---",,
"Volvo","","","","","","1.2","0.8","0.5","0.6","---",,
"Land Rover","","","","","","0.1","0.1","0.4","0.6","---",,
"Jaguar","","","","","","0.1","0.3","0.1","0.6","---",,
"MINI","","","","","","0.2","0.5","0.1","0.3","---",,
"Tesla","","","","","","---","0.2","0.3","0.2","---",,
"Fiat","","","","","","0.1","0.4","0.3","0.1","---",,
"Suzuki","","","","","","0.5","0.4","0.1","0.1","---",,
"Porsche","","","","","","0.1","0.2","0.1","0.1","---",,
"Saab","","","","","","0.2","0.2","0.1","0.1","---",,
"Peugeot","","","","","","---","0.1","0.1","---","---",,
"Lamborghini","","","","","","---","---","0.1","---","---",,
"Other","","","","","","3.5","2.3","2.2","1.0","6.4",,
"Own but don't drive an automobile/truck","","","","","","0.3","0.1","0.3","0.2","---",,
"Base (No. owning at least one automobile/truck)","","","","","","70,401,000","70,473,000","64,221,000","63,819,000","62,011,000",,
"Source: SBRnet, Inc., 2021. All Rights Reserved.","","","","","","","",,,,,
,,,,,,,,,,,,
"Basketball-NBA: Brand Share-of-Market - Soft Drinks: % of Fans Drank Most Often in Past 12 Months",,,,,,,,,,,,
,,,,,,,,,,,,
Item,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
"Coca-Cola","","","","","","19.9","19.9","20.4","20.6","20.4",,
"Diet Coke","","","","","","11.5","13.1","12.5","12.7","13.0",,
"Sprite","","","","","","6.5","7.4","8.7","7.6","10.1",,
"Pepsi","","","","","","9.3","7.8","8.3","8.2","8.3",,
"Coca-Cola Zero/Coca-Cola Zero Sugar","","","","","","5.6","5.5","7.3","6.5","8.0",,
"Dr. Pepper","","","","","","9.7","10.2","9.0","9.1","7.6",,
"Diet Pepsi","","","","","","4.3","4.3","4.9","5.2","4.2",,
"Mountain Dew","","","","","","7.1","5.2","4.4","4.0","3.5",,
"Diet Dr. Pepper","","","","","","3.0","3.2","2.5","3.5","---	",,
"A&W Root Beer","","","","","","1.9","2.5","2.4","2.7","---	",,
"Canada Dry Ginger Ale","","","","","","1.5","2.5","2.6","2.1","---	",,
"Barq's Root Beer","","","","","","1.3","1.6","1.4","1.9","---	",,
"Fanta","","","","","","0.7","1.1","0.8","1.9","---	",,
"7 Up (Any Flavor)","","","","","","1.4","2.5","2.5","1.7","---	",,
"Diet Mountain Dew","","","","","","1.7","0.8","1.7","1.7","---	",,
"Cherry Coke","","","","","","2.4","2.5","1.1","1.4","---	",,
"Sunkist (any flavor)","","","","","","0.8","0.8","0.9","1.3","---	",,
"Seagram's Ginger Ale","","","","","","0.4","0.8","0.3","1.0","---	",,
"Schweppes Ginger Ale (regular or diet)","","","","","","0.9","1.5","0.5","0.9","---	",,
"Sierra Mist (any flavor)","","","","","","0.9","1.4","0.9","0.8","---	",,
"Diet A&W Root Beer","","","","","","0.6","0.7","1.0","0.7","---	",,
"Pepsi (all other flavors)","","","","","","---","0.2","0.5","0.6","---	",,
"Crush (any flavor0","","","","","","0.3","0.3","0.4","0.5","---	",,
"Squirt (any flavor)","","","","","","0.5","0.3","0.3","0.5","---	",,
"Coke (all other flavors)","","","","","","---","0.3","0.5","0.3","---	",,
"RC Cola (Any Flavor)","","","","","","0.1","---","0.3","0.2","---	",,
"IBC Root Beer","","","","","","0.1","0.2","0.3","0.2","---	",,
"Sprite (all other flavors)","","","","","","0.5","0.2","0.2","0.2","---	",,
"Dad's Root Beer (regular or diet)","","","","","","0.4","0.2","---","0.2","---	",,
"Mello Yello (any flavor)","","","","","","0.3","0.2","0.1","0.1","---	",,
"Dr. Pepper (all other flavors)","","","","","","---","0.3","...","0.1","---	",,
"Fresca (any flavor)","","","","","","---","0.5","0.5","0.1","---	",,
"Hires Root Beer","","","","","","0.1","---","0.3","---","---	",,
"Dr. Brown's (any flavor)","","","","","","---","---","0.2","---","---	",,
"Diet Rite Cola (any flavor)","","","","","","0.1","0.2","---","---","---	",,
"Coca-Cola Zero Caffeine-Free","","","","","","0.3","---","---","---","---	",,
"Caffeine-Free Diet Coke","","","","","","1.2","---","---","---","---	",,
"Diet Sunkist Orange","","","","","","0.4","---","---","---","---	",,
"Cherry 7 Up","","","","","","0.3","---","---","---","---	",,
"Diet Sierra Mist","","","","","","0.3","---","---","---","---	",,
