"Basketball: NBA - Purchase Price of each Franchise, year purchased ()",,,,,,,,,,,
Item,,,,,,,,,,,2021
Atlanta Hawks (2015),,,,,,,,,,,"$730,000,000 "
Boston Celtics (2002),,,,,,,,,,,"$360,000,000 "
Brooklyn Nets (2019),,,,,,,,,,,"$3,200,000,000 "
Charlotte Hornets (2010),,,,,,,,,,,"$175,000,000 "
Chicago Bulls (1985),,,,,,,,,,,"$16,000,000 "
Cleveland Cavaliers (2005),,,,,,,,,,,"$375,000,000 "
Dallas Mavericks (2000),,,,,,,,,,,"$280,000,000 "
Denver Nuggets (2000),,,,,,,,,,,"$202,000,000 "
Detroit Pistons (2011),,,,,,,,,,,"$325,000,000 "
Golden State Warriors (2010),,,,,,,,,,,"$450,000,000 "
Houston Rockets (2017),,,,,,,,,,,"$2,200,000,000 "
Indiana Pacers (1983),,,,,,,,,,,"$11,000,000 "
Los Angeles Clippers (2014),,,,,,,,,,,"$2,000,000,000 "
Los Angeles Lakers (1998),,,,,,,,,,,"$268,000,000 "
Memphis Grizzlies (2012),,,,,,,,,,,"$377,000,000 "
Miami Heat (1988),,,,,,,,,,,"$33,000,000 "
Milwaukee Bucks (2014),,,,,,,,,,,"$550,000,000 "
Minnesota Timberwolves (1995),,,,,,,,,,,"$89,000,000 "
New Orleans Pelicans (2012),,,,,,,,,,,"$338,000,000 "
New York Knicks (1997),,,,,,,,,,,"$300,000,000 "
Oklahoma City Thunder (2006),,,,,,,,,,,"$325,000,000 "
Orlando Magic (1991),,,,,,,,,,,"$85,000,000 "
Philadelphia 76ers (2011),,,,,,,,,,,"$287,000,000 "
Phoenix Suns (2004),,,,,,,,,,,"$404,000,000 "
Portland Trail Blazers (1988),,,,,,,,,,,"$70,000,000 "
Sacramento Kings (2013),,,,,,,,,,,"$534,000,000 "
San Antonio Spurs (1996),,,,,,,,,,,"$76,000,000 "
Toronto Raptors (2012),,,,,,,,,,,"$400,000,000 "
Utah Jazz (2020),,,,,,,,,,,"$1,700,000,000 "
Washington Wizards (2010),,,,,,,,,,,"$551,000,000 "
"Source: Statista.com (Tag: Professional Sports, NBA, National Basketball Association, Financial))",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Basketball: NBA Highest Paid Players Top 10 Total Earnings - Includes Total Earnings, Salary, Endorsements",,,,,,,,,,,
Item,,,,,,,,,,,2021
---------TOTAL EARNINGS,,,,,,,,,,,
LeBron James (Los Angeles Lakers),,,,,,,,,,,"$95,400,000 "
Stephen Curry (Golden State Warriors),,,,,,,,,,,"$74,400,000 "
Kevin Durant (Brooklyn Nets),,,,,,,,,,,"$65,200,000 "
Russell Westbrook (Washington Wizards),,,,,,,,,,,"$58,000,000 "
James Harden (Brooklyn Nets),,,,,,,,,,,"$50,000,000 "
Giannis Antetokounmpo (Milwaukee Bucks),,,,,,,,,,,"$49,000,000 "
Klay Thompson (Golden State Warriors),,,,,,,,,,,"$43,300,000 "
Kyrie Irving (Brooklyn Nets),,,,,,,,,,,"$43,000,000 "
Chris Paul (Phoenix Suns),,,,,,,,,,,"$40,100,000 "
Damian Lillard (Portland Trailblazers),,,,,,,,,,,"$39,000,000 "
---------SALARY,,,,,,,,,,,
LeBron James (Los Angeles Lakers),,,,,,,,,,,"$31,400,000 "
Stephen Curry (Golden State Warriors),,,,,,,,,,,"$34,000,000 "
Kevin Durant (Brooklyn Nets),,,,,,,,,,,"$31,200,000 "
Russell Westbrook (Washington Wizards),,,,,,,,,,,"$33,000,000 "
James Harden (Brooklyn Nets),,,,,,,,,,,"$33,000,000 "
Giannis Antetokounmpo (Milwaukee Bucks),,,,,,,,,,,"$22,000,000 "
Klay Thompson (Golden State Warriors),,,,,,,,,,,"$28,300,000 "
Kyrie Irving (Brooklyn Nets),,,,,,,,,,,"$26,000,000 "
Chris Paul (Phoenix Suns),,,,,,,,,,,"$33,100,000 "
Damian Lillard (Portland Trail Blazers),,,,,,,,,,,"$25,000,000 "
---------ENDORSEMENTS,,,,,,,,,,,
Lebron James (Los Angeles Lakers),,,,,,,,,,,"$64,000,000 "
Stephen Curry (Golden State Warriors,,,,,,,,,,,"$40,000,000 "
Kevin Durant (Brooklyn Nets),,,,,,,,,,,"$34,000,000 "
Russell Westbrook (Washington Wizards),,,,,,,,,,,"$25,000,000 "
James Harden (Brooklyn Nets),,,,,,,,,,,"$17,000,000 "
Giannis Antetokounmpo (Milwaukee Bucks),,,,,,,,,,,"$27,000,000 "
Klay Thompson (Golden State Warriors),,,,,,,,,,,"$15,000,000 "
Kyrie Irving (Brooklyn Nets),,,,,,,,,,,"$17,000,000 "
Chris Paul (Phoenix Suns),,,,,,,,,,,"$7,000,000 "
Damian Lillard (Portland Trail Blazers),,,,,,,,,,,"$14,000,000 "
"Source: Forbes (Tags: Financial, Salary, Endorsements, Total Earnings, Professional Sports, NBA, National Basketball Association)",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Financial: World's Richest Team Owners - Top 20 (Net Worth) (Numbers in Billions),,,,,,,,,,,
Item,,,,,,,,,,,2021
Mukesh Ambani (Mumbai Indians),,,,,,,,,,,$84.60 
Steve Ballmer (Los Angeles Clippers),,,,,,,,,,,$68.70 
Daniel Gilbert (Cleveland Cavaliers),,,,,,,,,,,$51.90 
François Pinault & family (Stade Rennais FC),,,,,,,,,,,$42.30 
"Dietrich Mateschirtz (New York Red Bulls, Red Bull Racing)",,,,,,,,,,,$26.90 
Robert Pera (Memphis Grizzlies),,,,,,,,,,,$18.30 
Steve Cohen (New York Mets),,,,,,,,,,,$16.00 
(tie) Roman Abramovich (Chelsea FC),,,,,,,,,,,$14.50 
(tie) David Tepper (Carolina Panthers),,,,,,,,,,,$14.50 
Joseph Tsai (Brooklyn Nets),,,,,,,,,,,$11.60 
"Philip Anschutz (Los Angeles Kings, LA Galaxy)",,,,,,,,,,,$10.10 
Jerry Jones (Dallas Cowboys),,,,,,,,,,,$8.90 
Hasso Plattner & family (San Jose Sharks),,,,,,,,,,,$8.30 
"Stanley Kroen (Arsenal, Los Angeles Rams, Denver Nuggets, Colorado Avalanche, Colorado Rapids)",,,,,,,,,,,$8.20 
Shahid Khan (Jacksonville Jaguars),,,,,,,,,,,$8.00 
Stephen Ross (Miami Dolphins),,,,,,,,,,,$7.00 
"Robert Kraft (New England Patriots, New England Revolution)",,,,,,,,,,,$6.90 
(tie) Dmitry Rybolovlev (FC Monaco),,,,,,,,,,,$6.70 
(tie) Micky Arison (Miami Heat),,,,,,,,,,,$6.70 
"Arthur Blank (Atlanta Falcons, Atlanta United FC)",,,,,,,,,,,$6.20 
"Source: Forbes (Tags: Financial, Professional Sports)",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Basketball: NBA - Purchase Price of each Franchise, year purchased ()",,,,,,,,,,,
Item,,,,,,,,,,,2021
Atlanta Hawks (2015),,,,,,,,,,,"$730,000,000 "
Boston Celtics (2002),,,,,,,,,,,"$360,000,000 "
Brooklyn Nets (2019),,,,,,,,,,,"$3,200,000,000 "
Charlotte Hornets (2010),,,,,,,,,,,"$175,000,000 "
Chicago Bulls (1985),,,,,,,,,,,"$16,000,000 "
Cleveland Cavaliers (2005),,,,,,,,,,,"$375,000,000 "
Dallas Mavericks (2000),,,,,,,,,,,"$280,000,000 "
Denver Nuggets (2000),,,,,,,,,,,"$202,000,000 "
Detroit Pistons (2011),,,,,,,,,,,"$325,000,000 "
Golden State Warriors (2010),,,,,,,,,,,"$450,000,000 "
Houston Rockets (2017),,,,,,,,,,,"$2,200,000,000 "
Indiana Pacers (1983),,,,,,,,,,,"$11,000,000 "
Los Angeles Clippers (2014),,,,,,,,,,,"$2,000,000,000 "
Los Angeles Lakers (1998),,,,,,,,,,,"$268,000,000 "
Memphis Grizzlies (2012),,,,,,,,,,,"$377,000,000 "
Miami Heat (1988),,,,,,,,,,,"$33,000,000 "
Milwaukee Bucks (2014),,,,,,,,,,,"$550,000,000 "
Minnesota Timberwolves (1995),,,,,,,,,,,"$89,000,000 "
New Orleans Pelicans (2012),,,,,,,,,,,"$338,000,000 "
New York Knicks (1997),,,,,,,,,,,"$300,000,000 "
Oklahoma City Thunder (2006),,,,,,,,,,,"$325,000,000 "
Orlando Magic (1991),,,,,,,,,,,"$85,000,000 "
Philadelphia 76ers (2011),,,,,,,,,,,"$287,000,000 "
Phoenix Suns (2004),,,,,,,,,,,"$404,000,000 "
Portland Trail Blazers (1988),,,,,,,,,,,"$70,000,000 "
Sacramento Kings (2013),,,,,,,,,,,"$534,000,000 "
San Antonio Spurs (1996),,,,,,,,,,,"$76,000,000 "
Toronto Raptors (2012),,,,,,,,,,,"$400,000,000 "
Utah Jazz (2020),,,,,,,,,,,"$1,700,000,000 "
Washington Wizards (2010),,,,,,,,,,,"$551,000,000 "
"Source: Statista.com (Tag: Professional Sports, NBA, National Basketball Association, Financial))",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Basketball: NBA Active Cap Space,,,,,,,,,,,
Item,,,,,,,,,,2020,
Portland Trail Blazers,,,,,,,,,,"$132,112,637 ",
Oklahoma City Thunder,,,,,,,,,,"$131,676,067 ",
Los Angeles Clippers,,,,,,,,,,"$130,437,931 ",
Golden State Warriors,,,,,,,,,,"$129,811,253 ",
Cleveland Cavaliers,,,,,,,,,,"$129,248,939 ",
Miami Heat,,,,,,,,,,"$128,232,935 ",
Denver Nuggets,,,,,,,,,,"$127,778,605 ",
Philadelphia 76ers,,,,,,,,,,"$126,783,802 ",
Orlando Magic,,,,,,,,,,"$125,365,088 ",
Houston Rockets,,,,,,,,,,"$124,040,901 ",
Toronto Raptors,,,,,,,,,,"$123,954,361 ",
Milwaukee Bucks,,,,,,,,,,"$120,508,858 ",
Utah Jazz,,,,,,,,,,"$118,918,091 ",
New Orleans Pelicans,,,,,,,,,,"$118,391,046 ",
Boston Celtics,,,,,,,,,,"$117,600,096 ",
Dallas Mavericks,,,,,,,,,,"$117,533,566 ",
Sacramento Kings,,,,,,,,,,"$114,439,652 ",
Minnesota Timberwolves,,,,,,,,,,"$114,043,849 ",
Indiana Pacers,,,,,,,,,,"$112,346,544 ",
San Antonio Spurs,,,,,,,,,,"$111,915,368 ",
Chicago Bulls,,,,,,,,,,"$111,720,511 ",
Los Angeles Lakers,,,,,,,,,,"$107,807,481 ",
