Player,Salary,Endorsements,Oncourt (2017),Offcourt (2017),Salaray (2016),Endorsements (2016),Salary (2015),Endorsements (2015)
LeBron James (Cleveland Cavaliers),31.40,64,31,55,23,71,20.60,44
Stephen Curry (Golden State Warriors),34.40,40,12.10,35,,,,
Kevin Durant (Golden State Warriors),31.20,34,26.50,36,20.20,36,19,35
Russell Westbrook (Oklahoma City Thunder),33,25,26.50,15,,,,
James Harden (Houston Rockets),33,17,26.50,20,15.80,17,,
Giannis Antetokounmpo (Milwaukee Bucks),22,27,,,,,,
Klay Thompson (Golden State Warriors),28.30,15,,,,,,
Kyrie Irving (Brooklyn Nets),26,17,17.60,13,,,,
Chris Paul (Los Angeles Clippers),33.10,7,22.90,8,21.50,8.50,20.10,6
Damian Lillard (Portland Trail Blazers),25,14,,,,,,
Blake Griffin (Detroit Pistons),32.10,7,,,18.90,8,17.70,7
Paul George (Oklahoma City Thunder),30.60,8,24.60,8,22.90,8,22.50,8
Anthony Davis (New Orleans Pelicans),23.80,9,,,,,,
Dwyane Wade (Chicago Bulls),,,23.20,13,20,12,15,12
Derrick Rose (New York Knicks),,,21.30,14,20.10,14,18.90,20
Dwight Howard (Houston Rockets),,,,,22.40,5,21.40,4.50
Kobe Bryant (Los Angeles Lakers),,,,,25,25,23.50,26
Amar'e Stoudemire (New York Knicks),,,,,,,23.40,3
,,,,,,,,
,,,,,,,,
