Item,City,LAT,LONG,Attribute,Value
New York Knicks,"New York, NY",40.730610,-73.935242,2010,586
New York Knicks,"New York, NY",40.730610,-73.935242,2011,655
New York Knicks,"New York, NY",40.730610,-73.935242,2012,780
New York Knicks,"New York, NY",40.730610,-73.935242,2013,1100
New York Knicks,"New York, NY",40.730610,-73.935242,2014,1400
New York Knicks,"New York, NY",40.730610,-73.935242,2015,2500
New York Knicks,"New York, NY",40.730610,-73.935242,2016,3000
New York Knicks,"New York, NY",40.730610,-73.935242,2017,3300
New York Knicks,"New York, NY",40.730610,-73.935242,2018,3600
New York Knicks,"New York, NY",40.730610,-73.935242,2019,4000
Golden State Warriors,"San Francisco, CA",37.773972,-122.419400,2010,315
Golden State Warriors,"San Francisco, CA",37.773972,-122.419400,2011,363
Golden State Warriors,"San Francisco, CA",37.773972,-122.419400,2012,450
Golden State Warriors,"San Francisco, CA",37.773972,-122.419400,2013,555
Golden State Warriors,"San Francisco, CA",37.773972,-122.419400,2014,750
Golden State Warriors,"San Francisco, CA",37.773972,-122.419400,2015,1300
Golden State Warriors,"San Francisco, CA",37.773972,-122.419400,2016,1900
Golden State Warriors,"San Francisco, CA",37.773972,-122.419400,2017,2600
Golden State Warriors,"San Francisco, CA",37.773972,-122.419400,2018,3100
Golden State Warriors,"San Francisco, CA",37.773972,-122.419400,2019,3500
Los Angeles Lakers,"Los Angeles, CA",34.052235,-118.243683,2010,607
Los Angeles Lakers,"Los Angeles, CA",34.052235,-118.243683,2011,643
Los Angeles Lakers,"Los Angeles, CA",34.052235,-118.243683,2012,900
Los Angeles Lakers,"Los Angeles, CA",34.052235,-118.243683,2013,1000
Los Angeles Lakers,"Los Angeles, CA",34.052235,-118.243683,2014,1350
Los Angeles Lakers,"Los Angeles, CA",34.052235,-118.243683,2015,2600
Los Angeles Lakers,"Los Angeles, CA",34.052235,-118.243683,2016,2700
Los Angeles Lakers,"Los Angeles, CA",34.052235,-118.243683,2017,3000
Los Angeles Lakers,"Los Angeles, CA",34.052235,-118.243683,2018,3300
Los Angeles Lakers,"Los Angeles, CA",34.052235,-118.243683,2019,3700
Brooklyn Nets,"Brooklyn, NY",40.650002,-73.949997,2010,269
Brooklyn Nets,"Brooklyn, NY",40.650002,-73.949997,2011,312
Brooklyn Nets,"Brooklyn, NY",40.650002,-73.949997,2012,357
Brooklyn Nets,"Brooklyn, NY",40.650002,-73.949997,2013,530
Brooklyn Nets,"Brooklyn, NY",40.650002,-73.949997,2014,780
Brooklyn Nets,"Brooklyn, NY",40.650002,-73.949997,2015,1500
Brooklyn Nets,"Brooklyn, NY",40.650002,-73.949997,2016,1700
Brooklyn Nets,"Brooklyn, NY",40.650002,-73.949997,2017,1800
Brooklyn Nets,"Brooklyn, NY",40.650002,-73.949997,2018,2300
Brooklyn Nets,"Brooklyn, NY",40.650002,-73.949997,2019,2350
Boston Celtics,"Boston, MA",42.361145,-71.057083,2010,433
Boston Celtics,"Boston, MA",42.361145,-71.057083,2011,452
Boston Celtics,"Boston, MA",42.361145,-71.057083,2012,482
Boston Celtics,"Boston, MA",42.361145,-71.057083,2013,730
Boston Celtics,"Boston, MA",42.361145,-71.057083,2014,875
Boston Celtics,"Boston, MA",42.361145,-71.057083,2015,1700
Boston Celtics,"Boston, MA",42.361145,-71.057083,2016,2100
Boston Celtics,"Boston, MA",42.361145,-71.057083,2017,2200
Boston Celtics,"Boston, MA",42.361145,-71.057083,2018,2500
Boston Celtics,"Boston, MA",42.361145,-71.057083,2019,2800
Chicago Bulls,"Chicago, IL",41.881832,-87.623177,2010,511
Chicago Bulls,"Chicago, IL",41.881832,-87.623177,2011,511
Chicago Bulls,"Chicago, IL",41.881832,-87.623177,2012,600
Chicago Bulls,"Chicago, IL",41.881832,-87.623177,2013,800
Chicago Bulls,"Chicago, IL",41.881832,-87.623177,2014,1200
Chicago Bulls,"Chicago, IL",41.881832,-87.623177,2015,2000
Chicago Bulls,"Chicago, IL",41.881832,-87.623177,2016,2300
Chicago Bulls,"Chicago, IL",41.881832,-87.623177,2017,2500
Chicago Bulls,"Chicago, IL",41.881832,-87.623177,2018,2600
Chicago Bulls,"Chicago, IL",41.881832,-87.623177,2019,2900
Houston Rockets,"Houston, TX",29.749907,-95.358421,2010,470
Houston Rockets,"Houston, TX",29.749907,-95.358421,2011,443
Houston Rockets,"Houston, TX",29.749907,-95.358421,2012,453
Houston Rockets,"Houston, TX",29.749907,-95.358421,2013,568
Houston Rockets,"Houston, TX",29.749907,-95.358421,2014,775
Houston Rockets,"Houston, TX",29.749907,-95.358421,2015,1250
Houston Rockets,"Houston, TX",29.749907,-95.358421,2016,1500
Houston Rockets,"Houston, TX",29.749907,-95.358421,2017,1650
Houston Rockets,"Houston, TX",29.749907,-95.358421,2018,2200
Houston Rockets,"Houston, TX",29.749907,-95.358421,2019,2300
Los Angeles Clippers,"Los Angeles, CA",34.052235,-118.243683,2010,295
Los Angeles Clippers,"Los Angeles, CA",34.052235,-118.243683,2011,305
Los Angeles Clippers,"Los Angeles, CA",34.052235,-118.243683,2012,324
Los Angeles Clippers,"Los Angeles, CA",34.052235,-118.243683,2013,430
Los Angeles Clippers,"Los Angeles, CA",34.052235,-118.243683,2014,575
Los Angeles Clippers,"Los Angeles, CA",34.052235,-118.243683,2015,1600
Los Angeles Clippers,"Los Angeles, CA",34.052235,-118.243683,2016,2000
Los Angeles Clippers,"Los Angeles, CA",34.052235,-118.243683,2017,2000
Los Angeles Clippers,"Los Angeles, CA",34.052235,-118.243683,2018,2150
Los Angeles Clippers,"Los Angeles, CA",34.052235,-118.243683,2019,2200
Dallas Mavericks,"Dallas, TX",32.779167,-96.808891,2010,446
Dallas Mavericks,"Dallas, TX",32.779167,-96.808891,2011,438
Dallas Mavericks,"Dallas, TX",32.779167,-96.808891,2012,497
Dallas Mavericks,"Dallas, TX",32.779167,-96.808891,2013,685
Dallas Mavericks,"Dallas, TX",32.779167,-96.808891,2014,765
Dallas Mavericks,"Dallas, TX",32.779167,-96.808891,2015,1150
Dallas Mavericks,"Dallas, TX",32.779167,-96.808891,2016,1400
Dallas Mavericks,"Dallas, TX",32.779167,-96.808891,2017,1450
Dallas Mavericks,"Dallas, TX",32.779167,-96.808891,2018,1900
Dallas Mavericks,"Dallas, TX",32.779167,-96.808891,2019,2250
Toronto Raptors,"Toronto, CA",43.651070,-79.347015,2010,386
Toronto Raptors,"Toronto, CA",43.651070,-79.347015,2011,399
Toronto Raptors,"Toronto, CA",43.651070,-79.347015,2012,382
Toronto Raptors,"Toronto, CA",43.651070,-79.347015,2013,405
Toronto Raptors,"Toronto, CA",43.651070,-79.347015,2014,520
Toronto Raptors,"Toronto, CA",43.651070,-79.347015,2015,920
Toronto Raptors,"Toronto, CA",43.651070,-79.347015,2016,980
Toronto Raptors,"Toronto, CA",43.651070,-79.347015,2017,1125
Toronto Raptors,"Toronto, CA",43.651070,-79.347015,2018,1400
Toronto Raptors,"Toronto, CA",43.651070,-79.347015,2019,1675
Philadelphia 76ers,"Philadelphia, PA",39.952583,-75.165222,2010,344
Philadelphia 76ers,"Philadelphia, PA",39.952583,-75.165222,2011,330
Philadelphia 76ers,"Philadelphia, PA",39.952583,-75.165222,2012,314
Philadelphia 76ers,"Philadelphia, PA",39.952583,-75.165222,2013,418
Philadelphia 76ers,"Philadelphia, PA",39.952583,-75.165222,2014,469
Philadelphia 76ers,"Philadelphia, PA",39.952583,-75.165222,2015,700
Philadelphia 76ers,"Philadelphia, PA",39.952583,-75.165222,2016,700
Philadelphia 76ers,"Philadelphia, PA",39.952583,-75.165222,2017,800
Philadelphia 76ers,"Philadelphia, PA",39.952583,-75.165222,2018,1180
Philadelphia 76ers,"Philadelphia, PA",39.952583,-75.165222,2019,1650
Miami Heat,"Miami, FL",25.761681,-80.191788,2010,364
Miami Heat,"Miami, FL",25.761681,-80.191788,2011,425
Miami Heat,"Miami, FL",25.761681,-80.191788,2012,457
Miami Heat,"Miami, FL",25.761681,-80.191788,2013,625
Miami Heat,"Miami, FL",25.761681,-80.191788,2014,770
Miami Heat,"Miami, FL",25.761681,-80.191788,2015,1175
