,endorsement,twitter_follows,min_cost_post,max_cost_post,avg_cost,value_post,value_cost,team,division,age,win_shares,games,minute_played,field_goal_percent,shooting_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,percent_2P,percent_3P,percent_eFG,percent_FT,Draft Year,Tenure (Years),Draft Round,Overall Draft Pick
James Harden,17.0,6.5,27000.0,37500.0,32250.0,69504.0,2.155162791,Houston Rockets,Southwest,29.0,15.2,78.0,2867.0,0.442,0.616,66.0,452.0,518.0,586.0,158.0,58.0,387.0,244.0,2818.0,0.528,0.368,0.541,0.879,2009,12,1,3
Giannis Antetokounmpo,19.0,0.817,9000.0,12500.0,10750.0,10779.0,1.002697674,Milwauke Bucks,Central,24.0,14.4,72.0,2358.0,0.578,0.644,159.0,739.0,898.0,424.0,92.0,110.0,268.0,232.0,1994.0,0.641,0.256,0.599,0.729,2013,8,1,15
Damian Lillard,13.0,1.8,13500.0,18750.0,16125.0,19299.0,1.196837209,Portland Trail Blazers,Northwest,28.0,12.1,80.0,2838.0,0.444,0.588,68.0,303.0,371.0,551.0,88.0,34.0,212.0,148.0,2067.0,0.499,0.369,0.522,0.912,2012,9,1,6
Paul George,8.0,2.2,9000.0,12500.0,10750.0,23469.0,2.183162791,oklahoma City Thunder,Northwest,28.0,11.9,77.0,2841.0,0.438,583.0,105.0,523.0,628.0,318.0,170.0,34.0,205.0,214.0,2159.0,0.484,0.386,0.529,0.839,2010,11,1,10
Kevin Durant,35.0,17.9,67500.0,93750.0,80625.0,190464.0,2.362344186,Brooklyn Nets,Atlantic,30.0,11.5,78.0,2702.0,0.521,0.631,33.0,464.0,497.0,457.0,58.0,84.0,225.0,155.0,2027.0,0.587,0.353,0.571,0.885,2007,14,1,2
Andre Drummond,1.0,0.843,9000.0,12500.0,10750.0,5636.0,0.52427907,Detroit Pistons,Central,25.0,10.0,79.0,2647.0,0.533,0.555,423.0,809.0,1232.0,112.0,136.0,138.0,175.0,272.0,1370.0,0.548,0.132,0.536,0.59,2012,9,1,9
Steph Curry,42.0,13.8,45000.0,62500.0,53750.0,146966.0,2.734251163,GS Warriors,Pacific,30.0,9.7,69.0,2331.0,0.472,0.641,45.0,324.0,369.0,361.0,92.0,25.0,192.0,166.0,1881.0,0.525,0.437,0.604,0.916,2009,12,1,7
Anthony Davis,9.0,1.7,22500.0,31250.0,26875.0,22992.0,0.855516279,Lakers,Pacific,25.0,9.5,56.0,1850.0,0.517,0.597,174.0,498.0,672.0,218.0,88.0,135.0,112.0,132.0,1452.0,0.547,0.331,0.54,0.794,2012,9,1,1
Kawhi Leonard,5.5,0.416,67500.0,93750.0,80625.0,4423.0,0.054858915,Toronto Raptors,Atlantic,27.0,9.5,60.0,2040.0,0.496,0.606,78.0,361.0,439.0,199.0,106.0,24.0,121.0,87.0,1596.0,0.542,0.371,0.546,0.854,2011,10,1,15
Kyrie Irving,23.0,4.3,22500.0,31250.0,26875.0,45646.0,1.698455814,Brooklyn Nets,Atlantic,26.0,9.1,67.0,2214.0,0.487,0.592,71.0,264.0,335.0,464.0,103.0,34.0,172.0,167.0,1596.0,0.533,0.401,0.557,0.873,2011,10,1,1
