year,"% of all NBA fans who follow players, coaches, teams or leagues on Facebook","% of all NBA fans who follow writers, broadcasters or bloggers on Facebook",Daily (add 000),4-6 days/week (add 000),1-3 days/week (add 000),Less than 1 day/week (add 000),13-17,18-34,35-49,50-64,65+,Median Age,Male,Female,"Under $25,000","$25,000-$49,999","$50,000-$99,999","$100,000 or more",Median Income,Total Logo Apparel Expenditures by NBA Fans Who Followed the NBA on Facebook (add 000),Logo Apparel Expenditures by NBA Followers on Facebook as % of Logo Apparel Expenditures by All College Basketball Fans,Average Expenditure Per Buyer,Number of followers - add 000,% of all NBA Fans,total_surveyed
2011,17.5,17.1,3015.0,2353.0,3241.0,8442.0,16.3,42.8,21.0,16.2,3.7,34.333333333333336,60.7,39.3,12.7,24.3,38.1,25.0,61755.555555555555,571272.0,55.0,80.3,7933.0,10.2,17051000.0
2012,19.1,17.4,3897.0,2282.0,4042.0,10274.0,14.1,47.4,23.2,13.3,2.0,30.0,59.9,40.1,26.8,32.3,27.6,13.3,42600.0,506120.0,52.7,93.2,10647.0,12.4,20495000.0
2013,22.6,21.9,4101.0,2199.0,4514.0,9225.0,8.4,51.6,25.1,11.5,3.3,31.0,61.3,38.7,27.0,23.9,29.0,20.1,48700.0,485582.0,53.8,68.6,10278.0,13.9,20039000.0
2014,23.4,23.2,5146.0,2308.0,4820.0,8648.0,8.2,50.1,21.5,16.3,3.9,31.0,62.4,37.6,16.1,25.0,35.4,23.5,61100.0,743550.0,66.0,86.9,12713.0,16.7,20923000.0
2015,37.4,35.2,5828.0,4547.0,8947.0,16423.0,3.8,43.5,30.5,17.4,4.8,35.0,59.5,40.5,16.0,24.6,31.7,27.7,61600.0,946846.0,74.4,62.4,21521.0,25.6,35746000.0
2016,28.8,27.8,4913.0,3493.0,6515.0,11591.0,4.8,46.0,24.3,19.3,5.6,34.0,55.3,44.7,18.4,27.1,30.8,23.6,55800.0,732550.0,65.1,69.2,13959.0,17.2,26513000.0
2017,34.9,32.2,3917.0,3718.0,6307.0,14624.0,6.4,38.0,31.4,17.7,6.5,36.0,56.5,43.5,16.4,22.8,32.6,28.2,64600.0,775774.0,67.5,74.1,16243.0,21.7,28565000.0
2018,33.5,31.3,4888.0,3088.0,6452.0,12609.0,4.4,33.2,36.6,19.1,6.8,38.0,58.4,41.6,15.8,21.5,33.4,29.3,69100.0,1041480.0,70.3,82.4,15880.0,21.3,27036000.0
2019,29.6,27.6,2300.0,3597.0,5245.0,11748.0,2.7,43.1,29.8,17.1,7.3,36.0,57.3,42.7,10.4,18.1,28.8,42.8,73600.0,723107.0,60.8,89.0,14325.0,20.5,22889000.0
2020,47.5,44.2,4942.0,5068.0,8332.0,7394.0,2.3,40.6,31.6,18.1,7.5,38.0,63.5,36.5,13.1,19.4,27.3,40.2,78700.0,1104961.0,79.4,77.8,23828.0,35.0,34330000.0
