Player,Sponsorship,Industry,Subindustry,FG%,Index,Team Code,NBA Draft,Tenure (Years),Draft Round,Overall Pick,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB per MP,DRB per MP,TRB per MP,AST per MP,STL per MP,BLK per MP,TOV per MP,PF per MP,PTS per MP
Yogi Ferrell,,,,0.38,155.00,CLE,2016.00,5.00,,,PG,27.00,CLE,2.00,0.00,40.00,8.00,21.00,3.00,9.00,0.33,5.00,12.00,0.42,0.45,0.00,2.00,0.00,3.00,4.00,7.00,5.00,3.00,1.00,3.00,4.00,19.00,0.08,0.10,0.18,0.13,0.08,0.03,0.08,0.10,0.48
Victor Oladipo,6.00,6.00,6.00,0.41,384.00,HOU,2013.00,8.00,1.00,2.00,SG,28.00,HOU,20.00,20.00,669.00,155.00,381.00,49.00,153.00,0.32,106.00,228.00,0.47,0.47,65.00,83.00,0.78,8.00,87.00,95.00,99.00,24.00,10.00,51.00,45.00,424.00,0.01,0.13,0.14,0.15,0.04,0.01,0.08,0.07,0.63
Tyler Cook,,,,0.33,109.00,BRK,2019.00,2.00,,,PF,23.00,BRK,4.00,0.00,17.00,1.00,3.00,0.00,0.00,,1.00,3.00,0.33,0.33,0.00,0.00,,1.00,1.00,2.00,2.00,0.00,0.00,1.00,2.00,2.00,0.06,0.06,0.12,0.12,0.00,0.00,0.06,0.12,0.12
Tyler Bey,,,,0.32,45.00,DAL,2020.00,1.00,2.00,36.00,SF,22.00,DAL,18.00,0.00,71.00,7.00,22.00,1.00,4.00,0.25,6.00,18.00,0.33,0.34,3.00,5.00,0.60,8.00,11.00,19.00,3.00,0.00,1.00,3.00,6.00,18.00,0.11,0.15,0.27,0.04,0.00,0.01,0.04,0.08,0.25
Trey Burke,2.00,2.00,2.00,0.43,82.00,DAL,2013.00,8.00,1.00,9.00,PG,28.00,DAL,62.00,1.00,911.00,151.00,353.00,58.00,164.00,0.35,93.00,189.00,0.49,0.51,51.00,57.00,0.90,10.00,44.00,54.00,81.00,36.00,7.00,33.00,64.00,411.00,0.01,0.05,0.06,0.09,0.04,0.01,0.04,0.07,0.45
Trent Forrest,,,,0.45,160.00,UTA,2020.00,1.00,,,PG,22.00,UTA,30.00,0.00,302.00,32.00,71.00,5.00,26.00,0.19,27.00,45.00,0.60,0.49,19.00,19.00,1.00,11.00,33.00,44.00,45.00,9.00,4.00,21.00,22.00,88.00,0.04,0.11,0.15,0.15,0.03,0.01,0.07,0.07,0.29
Tremont Waters,,,,0.41,514.00,BOS,2019.00,2.00,2.00,51.00,PG,23.00,BOS,26.00,3.00,238.00,34.00,84.00,15.00,38.00,0.40,19.00,46.00,0.41,0.49,16.00,17.00,0.94,5.00,16.00,21.00,62.00,15.00,1.00,27.00,17.00,99.00,0.02,0.07,0.09,0.26,0.06,0.00,0.11,0.07,0.42
Tony Bradley,,,,0.67,62.00,TOT,2017.00,4.00,1.00,28.00,C,23.00,TOT,42.00,8.00,684.00,131.00,197.00,0.00,3.00,0.00,131.00,194.00,0.68,0.67,38.00,55.00,0.69,85.00,154.00,239.00,37.00,15.00,30.00,33.00,61.00,300.00,0.12,0.23,0.35,0.05,0.02,0.04,0.05,0.09,0.44
Tomáš Satoranský,,,,0.51,448.00,CHI,2012.00,9.00,2.00,32.00,SG,29.00,CHI,58.00,18.00,1307.00,169.00,329.00,42.00,118.00,0.36,127.00,211.00,0.60,0.58,67.00,79.00,0.85,30.00,112.00,142.00,271.00,40.00,14.00,96.00,89.00,447.00,0.02,0.09,0.11,0.21,0.03,0.01,0.07,0.07,0.34
Terrence Ross,1.00,1.00,0.00,0.41,440.00,ORL,2012.00,9.00,1.00,8.00,SG,29.00,ORL,46.00,2.00,1347.00,254.00,616.00,89.00,264.00,0.34,165.00,352.00,0.47,0.49,120.00,138.00,0.87,15.00,143.00,158.00,108.00,47.00,21.00,74.00,88.00,717.00,0.01,0.11,0.12,0.08,0.03,0.02,0.05,0.07,0.53
Terence Davis,,,,0.43,120.00,TOT,2019.00,2.00,,,SG,23.00,TOT,61.00,4.00,1074.00,195.00,456.00,98.00,267.00,0.37,97.00,189.00,0.51,0.54,45.00,55.00,0.82,20.00,134.00,154.00,83.00,44.00,14.00,63.00,97.00,533.00,0.02,0.12,0.14,0.08,0.04,0.01,0.06,0.09,0.50
Sviatoslav Mykhailiuk,,,,0.44,361.00,OKC,2018.00,3.00,2.00,47.00,SG,23.00,OKC,30.00,9.00,690.00,124.00,283.00,48.00,143.00,0.34,76.00,140.00,0.54,0.52,14.00,20.00,0.70,13.00,76.00,89.00,53.00,24.00,6.00,49.00,30.00,310.00,0.02,0.11,0.13,0.08,0.03,0.01,0.07,0.04,0.45
Shaquille Harrison,,,,0.30,208.00,UTA,2016.00,5.00,,,SG,27.00,UTA,17.00,0.00,56.00,6.00,20.00,0.00,2.00,0.00,6.00,18.00,0.33,0.30,5.00,6.00,0.83,3.00,6.00,9.00,9.00,2.00,0.00,5.00,3.00,17.00,0.05,0.11,0.16,0.16,0.04,0.00,0.09,0.05,0.30
Shake Milton,,,,0.45,347.00,PHI,2018.00,3.00,2.00,45.00,SG,24.00,PHI,63.00,4.00,1461.00,300.00,667.00,71.00,203.00,0.35,229.00,464.00,0.49,0.50,146.00,176.00,0.83,33.00,115.00,148.00,193.00,39.00,18.00,103.00,130.00,817.00,0.02,0.08,0.10,0.13,0.03,0.01,0.07,0.09,0.56
Rudy Gobert,1.00,1.00,0.00,0.68,179.00,UTA,2013.00,8.00,1.00,27.00,C,28.00,UTA,71.00,71.00,2187.00,391.00,579.00,0.00,4.00,0.00,391.00,575.00,0.68,0.68,233.00,374.00,0.62,240.00,720.00,960.00,89.00,40.00,190.00,118.00,163.00,1015.00,0.11,0.33,0.44,0.04,0.02,0.09,0.05,0.07,0.46
RJ Barrett,3.00,3.00,3.00,0.44,31.00,NYK,2019.00,2.00,1.00,3.00,SG,20.00,NYK,72.00,72.00,2511.00,467.00,1060.00,124.00,309.00,0.40,343.00,751.00,0.46,0.50,206.00,276.00,0.75,68.00,346.00,414.00,217.00,53.00,20.00,139.00,188.00,1264.00,0.03,0.14,0.16,0.09,0.02,0.01,0.06,0.07,0.50
R.J. Hampton,1.00,1.00,1.00,0.44,198.00,ORL,2020.00,1.00,1.00,24.00,SG,19.00,ORL,26.00,1.00,655.00,111.00,253.00,22.00,69.00,0.32,89.00,184.00,0.48,0.48,46.00,70.00,0.66,19.00,110.00,129.00,73.00,16.00,8.00,42.00,39.00,290.00,0.03,0.17,0.20,0.11,0.02,0.01,0.06,0.06,0.44
Quinn Cook,,,,0.46,108.00,LAL,2015.00,6.00,,,PG,27.00,LAL,16.00,0.00,62.00,12.00,26.00,5.00,13.00,0.39,7.00,13.00,0.54,0.56,4.00,5.00,0.80,0.00,5.00,5.00,5.00,1.00,1.00,3.00,2.00,33.00,0.00,0.08,0.08,0.08,0.02,0.02,0.05,0.03,0.53
Paul Reed,,,,0.54,424.00,PHI,2020.00,1.00,2.00,58.00,PF,21.00,PHI,26.00,0.00,177.00,42.00,78.00,0.00,6.00,0.00,42.00,72.00,0.58,0.54,4.00,8.00,0.50,30.00,31.00,61.00,12.00,10.00,13.00,12.00,29.00,88.00,0.17,0.18,0.34,0.07,0.06,0.07,0.07,0.16,0.50
Patty Mills,,,,0.41,345.00,SAS,2009.00,12.00,2.00,55.00,PG,32.00,SAS,68.00,1.00,1685.00,252.00,611.00,161.00,429.00,0.38,91.00,182.00,0.50,0.54,71.00,78.00,0.91,18.00,98.00,116.00,162.00,42.00,3.00,66.00,81.00,736.00,0.01,0.06,0.07,0.10,0.02,0.00,0.04,0.05,0.44
Patrick McCaw,,,,1.00,327.00,TOR,2016.00,5.00,2.00,38.00,SF,25.00,TOR,5.00,0.00,33.00,1.00,1.00,0.00,0.00,,1.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,2.00,3.00,4.00,2.00,0.00,0.00,6.00,5.00,0.03,0.06,0.09,0.12,0.06,0.00,0.00,0.18,0.15
P.J. Tucker,,,,0.39,493.00,MIL,2006.00,15.00,2.00,35.00,PF,35.00,MIL,20.00,1.00,397.00,18.00,46.00,13.00,33.00,0.39,5.00,13.00,0.39,0.53,3.00,5.00,0.60,18.00,38.00,56.00,16.00,10.00,2.00,7.00,34.00,52.00,0.05,0.10,0.14,0.04,0.03,0.01,0.02,0.09,0.13
Norvel Pelle,,,,0.71,400.00,BRK,2014.00,7.00,,,C,27.00,NYK,9.00,0.00,52.00,5.00,7.00,0.00,0.00,,5.00,7.00,0.71,0.71,1.00,2.00,0.50,2.00,9.00,11.00,1.00,1.00,6.00,0.00,4.00,11.00,0.04,0.17,0.21,0.02,0.02,0.12,0.00,0.08,0.21
Norvel Pelle,,,,0.43,400.00,NYK,2014.00,7.00,,,C,27.00,BRK,3.00,0.00,28.00,3.00,7.00,0.00,0.00,,3.00,7.00,0.43,0.43,0.00,0.00,,3.00,4.00,7.00,0.00,0.00,3.00,3.00,9.00,6.00,0.11,0.14,0.25,0.00,0.00,0.11,0.11,0.32,0.21
