Player,Sponsorship,Industry,Subindustry,FG%,Index,Team Code,Twitter Followers,Twitter Followers (number),Twitter Posts (Past 30 days),Twitter Interactions (Past 30 days),Twitter Interactions (Past 30 days) Number,Instagram Followers,Instagram Presence (number),Instagram Posts (Past 30 Days),Instagram Interactions (Past 30 Days),Instagram Interactions (Past 30 Days) Number,Facebook Followers,Facebook Followers (number),NBA Draft,Tenure (Years),Draft Round,Overall Pick,Notes,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB per MP,DRB per MP,TRB per MP,AST per MP,STL per MP,BLK per MP,TOV per MP,PF per MP,PTS per MP
Yogi Ferrell,,,,0.381,155,CLE,,,,,,,,,,,,,2016,5,,,,PG,27,CLE,2,0,40,8,21,3,9,0.333,5,12,0.417,0.452,0,2,0,3,4,7,5,3,1,3,4,19,0.075,0.1,0.175,0.125,0.075,0.025,0.075,0.1,0.475
Victor Oladipo,6,6,6,0.407,384,HOU,318.68K,318680,8,0,0,,,0,0,0,411.40K,411400,2013,8,1,2,,SG,28,HOU,20,20,669,155,381,49,153,0.32,106,228,0.465,0.471,65,83,0.783,8,87,95,99,24,10,51,45,424,0.011958146,0.130044843,0.14200299,0.147982063,0.035874439,0.014947683,0.076233184,0.067264574,0.633781764
Tyler Cook,,,,0.333,109,BRK,,,,,,,,,,,,,2019,2,,,,PF,23,BRK,4,0,17,1,3,0,0,,1,3,0.333,0.333,0,0,,1,1,2,2,0,0,1,2,2,0.058823529,0.058823529,0.117647059,0.117647059,0,0,0.058823529,0.117647059,0.117647059
Tyler Bey,,,,0.318,45,DAL,4.80k,4800,3,182,182,10.68k,10680,0,0,0,,,2020,1,2,36,,SF,22,DAL,18,0,71,7,22,1,4,0.25,6,18,0.333,0.341,3,5,0.6,8,11,19,3,0,1,3,6,18,0.112676056,0.154929577,0.267605634,0.042253521,0,0.014084507,0.042253521,0.084507042,0.253521127
Trey Burke,2,2,2,0.428,82,DAL,,,,,,,,,,,,,2013,8,1,9,,PG,28,DAL,62,1,911,151,353,58,164,0.354,93,189,0.492,0.51,51,57,0.895,10,44,54,81,36,7,33,64,411,0.010976948,0.048298573,0.059275521,0.088913282,0.039517014,0.007683864,0.03622393,0.07025247,0.45115258
Trent Forrest,,,,0.451,160,UTA,6.52k,6520,10,1.80k,1800,15.83k,15830,0,0,0,,,2020,1,,,,PG,22,UTA,30,0,302,32,71,5,26,0.192,27,45,0.6,0.486,19,19,1,11,33,44,45,9,4,21,22,88,0.036423841,0.109271523,0.145695364,0.149006623,0.029801325,0.013245033,0.069536424,0.072847682,0.291390728
Tremont Waters,,,,0.405,514,BOS,,,,,,98.83k,98830,,,,,,2019,2,2,51,,PG,23,BOS,26,3,238,34,84,15,38,0.395,19,46,0.413,0.494,16,17,0.941,5,16,21,62,15,1,27,17,99,0.021008403,0.067226891,0.088235294,0.260504202,0.06302521,0.004201681,0.113445378,0.071428571,0.415966387
Tony Bradley,,,,0.665,62,TOT,21.6k,21600,6,429,429,71.79k,71790,0,0,0,,,2017,4,1,28,,C,23,TOT,42,8,684,131,197,0,3,0,131,194,0.675,0.665,38,55,0.691,85,154,239,37,15,30,33,61,300,0.124269006,0.225146199,0.349415205,0.054093567,0.021929825,0.043859649,0.048245614,0.089181287,0.438596491
Tomáš Satoranský,,,,0.514,448,CHI,,,,,,,,,,,,,2012,9,2,32,,SG,29,CHI,58,18,1307,169,329,42,118,0.356,127,211,0.602,0.578,67,79,0.848,30,112,142,271,40,14,96,89,447,0.022953328,0.085692425,0.108645754,0.207345065,0.030604438,0.010711553,0.07345065,0.068094874,0.342004591
Terrence Ross,1,1,0,0.412,440,ORL,201.04k,201040,45,5.48k,5480,371.56k,371560,4,18.25k,18250,,,2012,9,1,8,,SG,29,ORL,46,2,1347,254,616,89,264,0.337,165,352,0.469,0.485,120,138,0.87,15,143,158,108,47,21,74,88,717,0.011135857,0.106161841,0.117297699,0.080178174,0.034892353,0.0155902,0.054936897,0.065330364,0.532293987
Terence Davis,,,,0.428,120,TOT,17.78k,17780,20,6.84k,6840,,,,,,,,2019,2,,,,SG,23,TOT,61,4,1074,195,456,98,267,0.367,97,189,0.513,0.535,45,55,0.818,20,134,154,83,44,14,63,97,533,0.018621974,0.124767225,0.143389199,0.077281192,0.040968343,0.013035382,0.058659218,0.090316574,0.496275605
